ID,State,City,Death,Injury,School Type,Name School,Day,Year,Month Name,Month
130,Maryland,Great Mills,2,1,High,Great Mills High School,20,2018,Mar,3
131,Maryland,Oxon Hill,0,1,High,Oxon Hill High School,5,2018,Feb,2
132,Maryland,Perry Hall,0,1,High,Perry Hall School,27,2012,Aug,8
133,Maryland,Randallstown,0,4,High,Randallstown High School,7,2004,May,5
134,Massachusetts,Cambridge,1,0,College,Harvard College,18,2009,May,5
135,Massachusetts,Cambridge,1,0,Institute,Massachusetts Institute of Technology,18,2013,Apr,4
136,Massachusetts,Dorchester,1,3,High,Jeremiah Burke High School ,8,2016,Jun,6
137,Michigan,Detroit,1,3,High,Ford High School,16,2008,Oct,10
138,Michigan,Detroit,0,2,High,Mumford High School,8,2010,Sep,9
139,Michigan,Detroit,0,1,High,Osborn High School,12,2013,Jan,1
140,Michigan,Detroit,1,0,High,East English Village Preparatory Academy,11,2014,Apr,4
141,Michigan,Flint,1,0,Elementary,Buell Elementary School,29,2000,Feb,2
142,Michigan,Flint,0,7,High,Southwestern Classical Academy ,24,2015,May,5
143,Michigan,Mount Pleasant,2,0,University,Central Michigan University,2,2018,Mar,3
144,Michigan,Muskegon Heights,0,4,High,Muskegon Heights High School,9,2016,Feb,2
145,Minnesota,Cold Spring,2,0,High,Rocori High School ,24,2003,Sep,9
146,Minnesota,Red Lake,10,7,High,Red Lake Senior High School,21,2005,Mar,3
147,Mississippi,Cleveland,2,0,University,Delta State University ,14,2015,Sep,9
148,Mississippi,Columbus,0,1,University,Mississippi University for Women,4,2019,Jan,1
150,Mississippi,Itta Bena,0,1,University,Mississippi Valley State University,27,2018,Feb,2
151,Mississippi,Jackson,0,1,University,Jackson State University,7,2018,Mar,3
152,Mississippi,Sardis,1,2,High,North Panola High School ,23,2013,Aug,8
153,Missouri,Joplin,0,0,Middle,Memorial Middle School,9,2006,Oct,10
154,Missouri,Kansas City,1,0,High,Central Academy of Excellence,12,2019,Feb,2
155,Missouri,Raytown,0,1,Middle,South Middle School,12,2018,Apr,4
156,Missouri,St. Louis,0,2,Institute,Stevens Institute of Business and Arts,15,2013,Jan,1
